Id,Outcome Type
174,Return to Owner
175,Adoption
176,Adoption
177,Return to Owner
178,Return to Owner
179,Adoption
180,Return to Owner
181,Transfer
182,Adoption
183,Adoption
184,Return to Owner
185,Adoption
186,Return to Owner
187,Transfer
188,Adoption
189,Adoption
190,Adoption
191,Return to Owner
192,Adoption
193,Adoption
194,Adoption
195,Adoption
196,Adoption
197,Adoption
198,Adoption
199,Adoption
200,Adoption
201,Transfer
202,Adoption
203,Adoption
204,Return to Owner
205,Adoption
206,Return to Owner
207,Transfer
208,Adoption
209,Adoption
210,Adoption
211,Adoption
212,Return to Owner
213,Adoption
214,Adoption
215,Adoption
216,Adoption
217,Adoption
218,Adoption
219,Return to Owner
220,Adoption
221,Transfer
222,Adoption
223,Transfer
224,Adoption
225,Adoption
226,Adoption
227,Transfer
228,Return to Owner
229,Return to Owner
230,Return to Owner
231,Adoption
232,Adoption
233,Transfer
234,Return to Owner
235,Adoption
236,Return to Owner
237,Transfer
238,Transfer
239,Adoption
240,Return to Owner
241,Adoption
242,Adoption
243,Adoption
244,Adoption
245,Adoption
246,Transfer
247,Transfer
248,Return to Owner
249,Adoption
250,Return to Owner
251,Transfer
252,Return to Owner
253,Return to Owner
254,Return to Owner
255,Transfer
256,Transfer
257,Transfer
258,Adoption
259,Transfer
260,Transfer
261,Transfer
262,Return to Owner
263,Return to Owner
264,Adoption
265,Adoption
266,Adoption
267,Transfer
268,Transfer
269,Adoption
270,Return to Owner
271,Adoption
272,Return to Owner
273,Adoption
274,Transfer
275,Adoption
276,Return to Owner
277,Adoption
278,Adoption
279,Adoption
280,Adoption
281,Adoption
282,Adoption
283,Adoption
284,Adoption
285,Transfer
286,Transfer
287,Adoption
288,Return to Owner
289,Adoption
290,Adoption
291,Adoption
292,Adoption
293,Adoption
294,Adoption
295,Adoption
296,Transfer
297,Adoption
298,Adoption
299,Adoption
300,Return to Owner
301,Adoption
302,Transfer
303,Adoption
304,Adoption
305,Adoption
306,Adoption
307,Transfer
308,Adoption
309,Adoption
310,Transfer
311,Adoption
312,Adoption
313,Return to Owner
314,Adoption
315,Adoption
316,Transfer
317,Return to Owner
318,Adoption
319,Adoption
320,Return to Owner
321,Return to Owner
322,Return to Owner
323,Return to Owner
324,Adoption
325,Transfer
326,Adoption
327,Adoption
328,Return to Owner
329,Adoption
330,Transfer
331,Adoption
332,Transfer
333,Adoption
334,Adoption
335,Adoption
336,Adoption
337,Return to Owner
338,Adoption
339,Transfer
340,Adoption
341,Adoption
342,Adoption
343,Adoption
344,Adoption
345,Adoption
346,Adoption
347,Adoption
348,Return to Owner
349,Return to Owner
350,Return to Owner
351,Adoption
352,Adoption
353,Adoption
354,Transfer
355,Adoption
356,Transfer
357,Transfer
358,Adoption
359,Return to Owner
360,Return to Owner
361,Adoption
362,Return to Owner
363,Adoption
364,Return to Owner
365,Adoption
366,Transfer
367,Adoption
368,Transfer
369,Transfer
370,Return to Owner
371,Adoption
372,Adoption
373,Adoption
374,Adoption
375,Adoption
376,Adoption
377,Adoption
378,Adoption
379,Transfer
380,Adoption
381,Adoption
382,Adoption
383,Adoption
384,Adoption
385,Adoption
386,Transfer
387,Adoption
388,Adoption
389,Adoption
390,Adoption
391,Adoption
392,Transfer
393,Return to Owner
394,Transfer
395,Adoption
396,Transfer
397,Adoption
398,Return to Owner
399,Adoption
400,Adoption
401,Adoption
402,Return to Owner
403,Adoption
404,Adoption
405,Adoption
406,Return to Owner
407,Adoption
408,Return to Owner
409,Adoption
410,Adoption
411,Adoption
412,Transfer
413,Adoption
414,Transfer
415,Adoption
416,Adoption
417,Adoption
418,Adoption
419,Adoption
420,Transfer
421,Adoption
422,Return to Owner
423,Adoption
424,Adoption
425,Adoption
426,Transfer
427,Adoption
428,Return to Owner
429,Adoption
430,Transfer
431,Return to Owner
432,Adoption
433,Adoption
434,Transfer
435,Adoption
436,Adoption
437,Return to Owner
438,Return to Owner
439,Adoption
440,Adoption
441,Return to Owner
442,Return to Owner
443,Transfer
444,Return to Owner
445,Adoption
446,Transfer
447,Transfer
448,Adoption
449,Adoption
450,Transfer
451,Adoption
452,Return to Owner
453,Adoption
454,Adoption
455,Adoption
456,Transfer
457,Adoption
458,Transfer
459,Adoption
460,Return to Owner
461,Transfer
462,Return to Owner
463,Transfer
464,Transfer
465,Adoption
466,Adoption
467,Adoption
468,Adoption
469,Transfer
470,Transfer
471,Adoption
472,Transfer
473,Adoption
474,Return to Owner
475,Adoption
476,Adoption
477,Adoption
478,Adoption
479,Adoption
480,Transfer
481,Transfer
482,Transfer
483,Adoption
484,Adoption
485,Transfer
486,Adoption
487,Adoption
488,Adoption
489,Adoption
490,Adoption
491,Adoption
492,Adoption
493,Return to Owner
494,Adoption
495,Adoption
496,Transfer
497,Adoption
498,Adoption
499,Adoption
500,Adoption
501,Adoption
502,Adoption
503,Transfer
504,Transfer
505,Adoption
506,Adoption
507,Adoption
508,Transfer
509,Adoption
510,Adoption
511,Adoption
512,Adoption
513,Adoption
514,Adoption
515,Adoption
516,Transfer
517,Transfer
518,Adoption
519,Adoption
520,Adoption
521,Return to Owner
522,Adoption
523,Return to Owner
524,Transfer
525,Return to Owner
526,Adoption
527,Transfer
528,Transfer
529,Adoption
530,Adoption
531,Adoption
532,Adoption
533,Transfer
534,Adoption
535,Return to Owner
536,Adoption
537,Transfer
538,Adoption
539,Adoption
540,Return to Owner
541,Return to Owner
542,Adoption
543,Return to Owner
544,Transfer
545,Transfer
546,Adoption
547,Adoption
548,Adoption
549,Adoption
550,Adoption
551,Adoption
552,Adoption
553,Adoption
554,Transfer
555,Adoption
556,Return to Owner
557,Transfer
558,Return to Owner
559,Return to Owner
560,Transfer
561,Adoption
562,Adoption
563,Transfer
564,Adoption
565,Transfer
566,Adoption
567,Adoption
568,Adoption
569,Transfer
570,Adoption
571,Transfer
572,Adoption
573,Adoption
574,Transfer
575,Euthanasia
576,Adoption
577,Return to Owner
578,Return to Owner
579,Adoption
580,Adoption
581,Transfer
582,Adoption
583,Transfer
584,Adoption
585,Adoption
586,Adoption
587,Adoption
588,Adoption
589,Adoption
590,Adoption
591,Adoption
592,Adoption
593,Adoption
594,Adoption
595,Return to Owner
596,Adoption
597,Return to Owner
598,Adoption
599,Transfer
600,Return to Owner
601,Adoption
602,Adoption
603,Adoption
604,Adoption
605,Transfer
606,Adoption
607,Adoption
608,Adoption
609,Adoption
610,Adoption
611,Adoption
612,Adoption
613,Adoption
614,Return to Owner
615,Transfer
616,Adoption
617,Return to Owner
618,Transfer
619,Adoption
620,Adoption
621,Adoption
622,Adoption
623,Adoption
624,Adoption
625,Transfer
626,Adoption
627,Adoption
628,Adoption
629,Transfer
630,Transfer
631,Adoption
632,Adoption
633,Adoption
634,Adoption
635,Adoption
636,Adoption
637,Adoption
638,Return to Owner
639,Adoption
640,Return to Owner
641,Transfer
642,Adoption
643,Transfer
644,Transfer
645,Adoption
646,Adoption
647,Return to Owner
648,Adoption
649,Transfer
650,Adoption
651,Euthanasia
652,Adoption
653,Adoption
654,Return to Owner
655,Adoption
656,Adoption
657,Transfer
658,Transfer
659,Adoption
660,Transfer
661,Adoption
662,Adoption
663,Adoption
664,Return to Owner
665,Adoption
666,Adoption
667,Euthanasia
668,Return to Owner
669,Transfer
670,Adoption
671,Return to Owner
672,Return to Owner
673,Return to Owner
674,Adoption
675,Transfer
676,Transfer
677,Adoption
678,Transfer
679,Adoption
680,Adoption
681,Adoption
682,Adoption
683,Adoption
684,Return to Owner
685,Adoption
686,Adoption
687,Return to Owner
688,Return to Owner
689,Adoption
690,Adoption
691,Adoption
692,Return to Owner
693,Transfer
694,Return to Owner
695,Transfer
696,Transfer
697,Adoption
698,Return to Owner
699,Transfer
700,Transfer
701,Return to Owner
702,Adoption
703,Adoption
704,Adoption
705,Adoption
706,Adoption
707,Transfer
708,Adoption
709,Adoption
710,Adoption
711,Transfer
712,Return to Owner
713,Adoption
714,Transfer
715,Adoption
716,Adoption
717,Adoption
718,Adoption
719,Return to Owner
720,Adoption
721,Return to Owner
722,Adoption
723,Return to Owner
724,Adoption
725,Return to Owner
726,Return to Owner
727,Adoption
728,Return to Owner
729,Adoption
730,Adoption
731,Adoption
732,Adoption
733,Adoption
734,Adoption
735,Adoption
736,Adoption
737,Transfer
738,Return to Owner
739,Transfer
740,Adoption
741,Return to Owner
742,Return to Owner
743,Adoption
744,Transfer
745,Adoption
746,Return to Owner
747,Adoption
748,Return to Owner
749,Return to Owner
750,Adoption
751,Adoption
752,Adoption
753,Transfer
754,Adoption
755,Adoption
756,Transfer
757,Return to Owner
758,Transfer
759,Adoption
760,Adoption
761,Transfer
762,Adoption
763,Adoption
764,Adoption
765,Adoption
766,Adoption
767,Adoption
768,Adoption
769,Adoption
770,Adoption
771,Adoption
772,Adoption
773,Transfer
774,Adoption
775,Adoption
776,Adoption
777,Adoption
778,Transfer
779,Adoption
780,Adoption
781,Return to Owner
782,Transfer
783,Transfer
784,Adoption
785,Adoption
786,Adoption
787,Adoption
788,Transfer
789,Adoption
790,Adoption
791,Transfer
792,Transfer
793,Transfer
794,Adoption
795,Adoption
796,Adoption
797,Return to Owner
798,Adoption
799,Transfer
800,Transfer
801,Transfer
802,Adoption
803,Transfer
804,Return to Owner
805,Adoption
806,Adoption
807,Adoption
808,Return to Owner
809,Transfer
810,Adoption
811,Transfer
812,Adoption
813,Adoption
814,Adoption
815,Return to Owner
816,Adoption
817,Return to Owner
818,Return to Owner
819,Return to Owner
820,Adoption
821,Adoption
822,Adoption
823,Return to Owner
824,Adoption
825,Adoption
826,Adoption
827,Adoption
828,Adoption
829,Adoption
830,Transfer
831,Adoption
832,Euthanasia
833,Transfer
834,Transfer
835,Adoption
836,Adoption
837,Adoption
838,Adoption
839,Adoption
840,Adoption
841,Adoption
842,Adoption
843,Adoption
844,Adoption
845,Adoption
846,Adoption
847,Adoption
848,Adoption
849,Adoption
850,Adoption
851,Return to Owner
852,Adoption
853,Adoption
854,Adoption
855,Adoption
856,Return to Owner
857,Transfer
858,Return to Owner
859,Adoption
860,Adoption
861,Adoption
862,Adoption
863,Adoption
864,Adoption
865,Return to Owner
866,Adoption
867,Adoption
868,Transfer
869,Adoption
870,Return to Owner
871,Transfer
872,Adoption
873,Return to Owner
874,Adoption
875,Return to Owner
876,Adoption
877,Adoption
878,Adoption
879,Adoption
880,Adoption
881,Adoption
882,Return to Owner
883,Adoption
884,Return to Owner
885,Adoption
886,Transfer
887,Adoption
888,Adoption
889,Return to Owner
890,Adoption
891,Adoption
892,Adoption
893,Return to Owner
894,Transfer
895,Adoption
896,Return to Owner
897,Transfer
898,Adoption
899,Return to Owner
900,Adoption
901,Adoption
902,Transfer
903,Adoption
904,Transfer
905,Adoption
906,Adoption
907,Adoption
908,Adoption
909,Adoption
910,Return to Owner
911,Adoption
912,Adoption
913,Adoption
914,Transfer
915,Return to Owner
916,Adoption
917,Adoption
918,Adoption
919,Adoption
920,Adoption
921,Adoption
922,Adoption
923,Adoption
924,Adoption
925,Adoption
926,Transfer
927,Transfer
928,Transfer
929,Adoption
930,Transfer
931,Adoption
932,Adoption
933,Adoption
934,Adoption
935,Adoption
936,Adoption
937,Return to Owner
938,Adoption
939,Adoption
940,Return to Owner
941,Transfer
942,Adoption
943,Return to Owner
944,Transfer
945,Adoption
946,Adoption
947,Return to Owner
948,Adoption
949,Return to Owner
950,Transfer
951,Adoption
952,Adoption
953,Adoption
954,Transfer
955,Transfer
956,Adoption
957,Return to Owner
958,Adoption
959,Adoption
960,Adoption
961,Adoption
962,Adoption
963,Adoption
964,Adoption
965,Adoption
966,Adoption
967,Transfer
968,Transfer
969,Adoption
970,Transfer
971,Adoption
972,Adoption
973,Adoption
974,Adoption
975,Return to Owner
976,Adoption
977,Adoption
978,Adoption
979,Adoption
980,Adoption
981,Adoption
982,Transfer
983,Transfer
984,Adoption
985,Adoption
986,Transfer
987,Return to Owner
988,Adoption
989,Adoption
990,Adoption
991,Return to Owner
992,Return to Owner
993,Adoption
994,Transfer
995,Adoption
996,Transfer
997,Adoption
998,Transfer
999,Adoption
1000,Transfer
1001,Adoption
1002,Adoption
1003,Return to Owner
1004,Adoption
1005,Euthanasia
1006,Adoption
1007,Adoption
1008,Return to Owner
1009,Adoption
1010,Adoption
1011,Transfer
1012,Adoption
1013,Return to Owner
1014,Return to Owner
1015,Return to Owner
1016,Adoption
1017,Transfer
1018,Adoption
1019,Adoption
1020,Adoption
1021,Transfer
1022,Adoption
1023,Adoption
1024,Return to Owner
1025,Transfer
1026,Adoption
1027,Adoption
1028,Return to Owner
1029,Return to Owner
1030,Adoption
1031,Transfer
1032,Adoption
1033,Adoption
1034,Transfer
1035,Transfer
1036,Adoption
1037,Transfer
1038,Transfer
1039,Return to Owner
1040,Adoption
1041,Adoption
1042,Adoption
1043,Adoption
1044,Return to Owner
1045,Transfer
1046,Adoption
1047,Return to Owner
1048,Return to Owner
1049,Adoption
1050,Return to Owner
1051,Return to Owner
1052,Adoption
1053,Transfer
1054,Transfer
1055,Adoption
1056,Adoption
1057,Return to Owner
1058,Adoption
1059,Adoption
1060,Adoption
1061,Adoption
1062,Adoption
1063,Return to Owner
1064,Adoption
1065,Transfer
1066,Transfer
1067,Transfer
1068,Adoption
1069,Transfer
1070,Adoption
1071,Adoption
1072,Adoption
1073,Adoption
1074,Adoption
1075,Adoption
1076,Return to Owner
1077,Adoption
1078,Adoption
1079,Adoption
1080,Adoption
1081,Return to Owner
1082,Transfer
1083,Return to Owner
1084,Adoption
1085,Return to Owner
1086,Adoption
1087,Transfer
1088,Adoption
1089,Transfer
1090,Return to Owner
1091,Adoption
1092,Adoption
1093,Adoption
1094,Euthanasia
1095,Transfer
1096,Transfer
1097,Adoption
1098,Adoption
1099,Adoption
1100,Return to Owner
1101,Adoption
1102,Adoption
1103,Transfer
1104,Adoption
1105,Adoption
1106,Adoption
1107,Transfer
1108,Transfer
1109,Return to Owner
1110,Adoption
1111,Transfer
1112,Transfer
1113,Return to Owner
1114,Transfer
1115,Adoption
1116,Transfer
1117,Transfer
1118,Adoption
1119,Adoption
1120,Return to Owner
1121,Adoption
1122,Adoption
1123,Adoption
1124,Transfer
1125,Transfer
1126,Adoption
1127,Transfer
1128,Transfer
1129,Adoption
1130,Adoption
1131,Adoption
1132,Adoption
1133,Adoption
1134,Adoption
1135,Adoption
1136,Adoption
1137,Adoption
1138,Euthanasia
1139,Euthanasia
1140,Return to Owner
1141,Return to Owner
1142,Transfer
1143,Return to Owner
1144,Adoption
1145,Return to Owner
1146,Adoption
1147,Transfer
1148,Adoption
1149,Adoption
1150,Adoption
1151,Return to Owner
1152,Adoption
1153,Adoption
1154,Adoption
1155,Adoption
1156,Adoption
1157,Adoption
1158,Return to Owner
1159,Transfer
1160,Transfer
1161,Transfer
1162,Adoption
1163,Adoption
1164,Adoption
1165,Adoption
1166,Return to Owner
1167,Transfer
1168,Adoption
1169,Adoption
1170,Adoption
1171,Return to Owner
1172,Return to Owner
1173,Adoption
1174,Return to Owner
1175,Adoption
1176,Return to Owner
1177,Return to Owner
1178,Return to Owner
1179,Transfer
1180,Adoption
1181,Return to Owner
1182,Adoption
1183,Transfer
1184,Adoption
1185,Adoption
1186,Transfer
1187,Adoption
1188,Return to Owner
1189,Adoption
1190,Return to Owner
1191,Return to Owner
1192,Transfer
1193,Return to Owner
1194,Transfer
1195,Return to Owner
1196,Return to Owner
1197,Adoption
1198,Transfer
1199,Adoption
1200,Adoption
1201,Return to Owner
1202,Adoption
1203,Adoption
1204,Adoption
1205,Adoption
1206,Transfer
1207,Adoption
1208,Adoption
1209,Transfer
1210,Transfer
1211,Adoption
1212,Return to Owner
1213,Transfer
1214,Return to Owner
1215,Adoption
1216,Transfer
1217,Adoption
1218,Adoption
1219,Adoption
1220,Return to Owner
1221,Adoption
1222,Adoption
1223,Adoption
1224,Adoption
1225,Adoption
1226,Adoption
1227,Transfer
1228,Adoption
1229,Adoption
1230,Adoption
1231,Adoption
1232,Transfer
1233,Return to Owner
1234,Adoption
1235,Adoption
1236,Adoption
1237,Adoption
1238,Adoption
1239,Adoption
1240,Return to Owner
1241,Return to Owner
1242,Return to Owner
1243,Transfer
1244,Adoption
1245,Adoption
1246,Transfer
1247,Adoption
1248,Adoption
1249,Adoption
1250,Adoption
1251,Transfer
1252,Adoption
1253,Adoption
1254,Adoption
1255,Return to Owner
1256,Transfer
1257,Adoption
1258,Transfer
1259,Adoption
1260,Transfer
1261,Adoption
1262,Adoption
1263,Adoption
1264,Adoption
1265,Transfer
1266,Return to Owner
1267,Adoption
1268,Adoption
1269,Transfer
1270,Adoption
1271,Adoption
1272,Transfer
1273,Adoption
1274,Adoption
1275,Return to Owner
1276,Adoption
1277,Adoption
1278,Return to Owner
1279,Adoption
1280,Transfer
1281,Adoption
1282,Euthanasia
1283,Adoption
1284,Adoption
1285,Adoption
1286,Return to Owner
1287,Adoption
1288,Adoption
1289,Adoption
1290,Return to Owner
1291,Transfer
1292,Adoption
1293,Return to Owner
1294,Transfer
1295,Adoption
1296,Adoption
1297,Adoption
1298,Transfer
1299,Adoption
1300,Transfer
1301,Adoption
1302,Transfer
1303,Adoption
1304,Adoption
1305,Adoption
1306,Adoption
1307,Adoption
1308,Adoption
1309,Adoption
1310,Return to Owner
1311,Adoption
1312,Adoption
1313,Adoption
1314,Transfer
1315,Adoption
1316,Adoption
1317,Return to Owner
1318,Adoption
1319,Adoption
1320,Transfer
1321,Adoption
1322,Return to Owner
1323,Transfer
1324,Adoption
1325,Transfer
1326,Return to Owner
1327,Adoption
1328,Adoption
1329,Adoption
1330,Adoption
1331,Adoption
1332,Transfer
1333,Adoption
1334,Return to Owner
1335,Transfer
1336,Adoption
1337,Adoption
1338,Return to Owner
1339,Adoption
1340,Return to Owner
1341,Adoption
1342,Adoption
1343,Adoption
1344,Adoption
1345,Transfer
1346,Adoption
1347,Adoption
1348,Transfer
1349,Adoption
1350,Adoption
1351,Transfer
1352,Adoption
1353,Adoption
1354,Adoption
1355,Adoption
1356,Adoption
1357,Adoption
1358,Adoption
1359,Adoption
1360,Adoption
1361,Adoption
1362,Transfer
1363,Adoption
1364,Adoption
1365,Adoption
1366,Return to Owner
1367,Adoption
1368,Adoption
1369,Adoption
1370,Adoption
1371,Adoption
1372,Transfer
1373,Adoption
1374,Transfer
1375,Adoption
1376,Transfer
1377,Adoption
1378,Return to Owner
1379,Adoption
1380,Transfer
1381,Adoption
1382,Adoption
1383,Adoption
1384,Transfer
1385,Euthanasia
1386,Adoption
1387,Adoption
1388,Adoption
1389,Adoption
1390,Adoption
1391,Return to Owner
1392,Return to Owner
1393,Transfer
1394,Transfer
1395,Adoption
1396,Adoption
1397,Adoption
1398,Adoption
1399,Adoption
1400,Transfer
1401,Return to Owner
1402,Transfer
1403,Return to Owner
1404,Adoption
1405,Adoption
1406,Adoption
1407,Return to Owner
1408,Adoption
1409,Adoption
1410,Transfer
1411,Adoption
1412,Adoption
1413,Return to Owner
1414,Adoption
1415,Adoption
1416,Return to Owner
1417,Adoption
1418,Return to Owner
1419,Adoption
1420,Transfer
1421,Adoption
1422,Adoption
1423,Return to Owner
1424,Return to Owner
1425,Adoption
1426,Adoption
1427,Transfer
1428,Adoption
1429,Adoption
1430,Adoption
1431,Transfer
1432,Transfer
1433,Adoption
1434,Return to Owner
1435,Adoption
1436,Adoption
1437,Adoption
1438,Adoption
1439,Adoption
1440,Adoption
1441,Adoption
1442,Transfer
1443,Adoption
1444,Adoption
1445,Transfer
1446,Adoption
1447,Adoption
1448,Adoption
1449,Return to Owner
1450,Adoption
1451,Adoption
1452,Adoption
1453,Adoption
1454,Adoption
1455,Adoption
1456,Adoption
1457,Transfer
1458,Transfer
1459,Adoption
1460,Adoption
1461,Adoption
1462,Adoption
1463,Transfer
1464,Return to Owner
1465,Transfer
1466,Adoption
1467,Transfer
1468,Adoption
1469,Adoption
1470,Adoption
1471,Return to Owner
1472,Adoption
1473,Transfer
1474,Adoption
1475,Adoption
1476,Adoption
1477,Transfer
1478,Transfer
1479,Adoption
1480,Adoption
1481,Return to Owner
1482,Adoption
1483,Transfer
1484,Adoption
1485,Adoption
1486,Euthanasia
1487,Transfer
1488,Transfer
1489,Adoption
1490,Adoption
1491,Transfer
1492,Transfer
1493,Adoption
1494,Return to Owner
1495,Adoption
1496,Return to Owner
1497,Return to Owner
1498,Transfer
1499,Adoption
1500,Adoption
1501,Adoption
1502,Euthanasia
1503,Adoption
1504,Transfer
1505,Adoption
1506,Transfer
1507,Return to Owner
1508,Adoption
1509,Adoption
1510,Adoption
1511,Transfer
1512,Adoption
1513,Return to Owner
1514,Transfer
1515,Adoption
1516,Adoption
1517,Transfer
1518,Return to Owner
1519,Transfer
1520,Adoption
1521,Adoption
1522,Adoption
1523,Adoption
1524,Transfer
1525,Transfer
1526,Adoption
1527,Adoption
1528,Adoption
1529,Adoption
1530,Adoption
1531,Return to Owner
1532,Adoption
1533,Transfer
1534,Adoption
1535,Adoption
1536,Transfer
1537,Adoption
1538,Adoption
1539,Adoption
1540,Adoption
1541,Adoption
1542,Adoption
1543,Adoption
1544,Transfer
1545,Adoption
1546,Return to Owner
1547,Transfer
1548,Adoption
1549,Transfer
1550,Adoption
1551,Transfer
1552,Transfer
1553,Adoption
1554,Transfer
1555,Adoption
1556,Adoption
1557,Adoption
1558,Return to Owner
1559,Transfer
1560,Adoption
1561,Return to Owner
1562,Adoption
1563,Adoption
1564,Adoption
1565,Adoption
1566,Adoption
1567,Return to Owner
1568,Adoption
1569,Transfer
1570,Transfer
1571,Adoption
1572,Transfer
1573,Adoption
1574,Return to Owner
1575,Adoption
1576,Adoption
1577,Adoption
1578,Transfer
1579,Adoption
1580,Transfer
1581,Adoption
1582,Adoption
1583,Adoption
1584,Return to Owner
1585,Adoption
1586,Return to Owner
1587,Transfer
1588,Transfer
1589,Transfer
1590,Adoption
1591,Adoption
1592,Adoption
1593,Adoption
1594,Adoption
1595,Return to Owner
1596,Adoption
1597,Adoption
1598,Adoption
1599,Adoption
1600,Return to Owner
1601,Adoption
1602,Return to Owner
1603,Adoption
1604,Adoption
1605,Adoption
1606,Adoption
1607,Adoption
1608,Adoption
1609,Adoption
1610,Adoption
1611,Return to Owner
1612,Adoption
1613,Adoption
1614,Adoption
1615,Adoption
1616,Adoption
1617,Adoption
1618,Transfer
1619,Return to Owner
1620,Adoption
1621,Adoption
1622,Adoption
1623,Return to Owner
1624,Adoption
1625,Adoption
1626,Adoption
1627,Transfer
1628,Adoption
1629,Return to Owner
1630,Adoption
1631,Adoption
1632,Return to Owner
1633,Return to Owner
1634,Adoption
1635,Adoption
1636,Transfer
1637,Return to Owner
1638,Transfer
1639,Transfer
1640,Return to Owner
1641,Transfer
1642,Adoption
1643,Euthanasia
1644,Transfer
1645,Adoption
1646,Adoption
1647,Adoption
1648,Return to Owner
1649,Adoption
1650,Transfer
1651,Adoption
1652,Adoption
1653,Adoption
1654,Adoption
1655,Return to Owner
1656,Transfer
1657,Adoption
1658,Adoption
1659,Adoption
1660,Adoption
1661,Euthanasia
1662,Return to Owner
1663,Return to Owner
1664,Transfer
1665,Transfer
1666,Transfer
1667,Transfer
1668,Adoption
1669,Adoption
1670,Return to Owner
1671,Adoption
1672,Adoption
1673,Transfer
1674,Adoption
1675,Return to Owner
1676,Adoption
1677,Adoption
1678,Adoption
1679,Return to Owner
1680,Adoption
1681,Adoption
1682,Adoption
1683,Return to Owner
1684,Transfer
1685,Return to Owner
1686,Return to Owner
1687,Adoption
1688,Return to Owner
1689,Adoption
1690,Transfer
1691,Adoption
1692,Return to Owner
1693,Transfer
1694,Adoption
1695,Adoption
1696,Adoption
1697,Adoption
1698,Adoption
1699,Adoption
1700,Adoption
1701,Adoption
1702,Adoption
1703,Adoption
1704,Adoption
1705,Adoption
1706,Adoption
1707,Return to Owner
1708,Adoption
1709,Transfer
1710,Euthanasia
1711,Adoption
1712,Adoption
1713,Adoption
1714,Adoption
1715,Adoption
1716,Adoption
1717,Adoption
1718,Adoption
1719,Transfer
1720,Adoption
1721,Adoption
1722,Transfer
1723,Adoption
1724,Return to Owner
1725,Return to Owner
1726,Adoption
1727,Return to Owner
1728,Return to Owner
1729,Transfer
1730,Adoption
1731,Transfer
1732,Return to Owner
1733,Transfer
1734,Adoption
1735,Adoption
1736,Adoption
1737,Adoption
1738,Transfer
1739,Transfer
1740,Adoption
1741,Transfer
1742,Adoption
1743,Return to Owner
1744,Adoption
1745,Adoption
1746,Adoption
1747,Transfer
1748,Transfer
1749,Adoption
1750,Adoption
1751,Return to Owner
1752,Adoption
1753,Transfer
1754,Return to Owner
1755,Return to Owner
1756,Return to Owner
1757,Return to Owner
1758,Adoption
1759,Transfer
1760,Transfer
1761,Adoption
1762,Adoption
1763,Transfer
1764,Adoption
1765,Adoption
1766,Adoption
1767,Return to Owner
1768,Adoption
1769,Return to Owner
1770,Adoption
1771,Adoption
1772,Adoption
1773,Adoption
1774,Adoption
1775,Adoption
1776,Adoption
1777,Adoption
1778,Transfer
1779,Adoption
1780,Adoption
1781,Adoption
1782,Transfer
1783,Euthanasia
1784,Adoption
1785,Transfer
1786,Return to Owner
1787,Transfer
1788,Adoption
1789,Adoption
